complaint_nbr,hearing_nbr,final_order_date,discipline_nbr,discipline_imposed,statute,discipline_start_date,discipline_end_date,discipline_satisfied_date,discipline_comments,row_revision,creation_user_code,creation_datetime,update_user_code,update_datetime,id
15828,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5344
15757,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,5323
15205,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,5190
15629,564,8/29/2000,1,VR,4,8/29/2000,,,,,,,,,5280
14337,564,8/29/2000,1,VR,4,8/29/2000,,,,,,,,,4956
14151,564,8/29/2000,1,VR,7,8/29/2000,,,,,,,,,4912
14131,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,4902
14209,564,8/29/2000,1,Rev,4,,,,,,,,,,4926
14818,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,5086
14280,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,4943
15814,564,8/29/2000,1,VR,4,8/29/2000,,,,,,,,,5340
15135,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,5166
15438,564,8/29/2000,1,VR,4,8/29/2000,,,,,,,,,5242
14170,564,8/29/2000,1,VR,4,8/29/2000,,,,,,,,,4917
14259,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,4938
15035,564,8/29/2000,1,Rev,4,,,,,,,,,,5145
15812,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5338
16195,564,8/29/2000,1,VR,B,8/29/2000,,,Instructor Certification only.,,,,,,5455
15898,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5359
15588,564,8/29/2000,1,PR,7,9/13/2000,9/12/2001,9/12/2001,Completion of DUI and Substance Abuse Treatment Program.,,,,,,5273
14515,564,8/29/2000,1,Rev,7,,,,,,,,,,5001
14932,564,8/29/2000,1,Rev,7,8/29/2000,,,,,,,,,5114
15740,564,8/29/2000,1,VR,7,,,,,,,,,,5317
15297,564,8/29/2000,1,Sus/Pr,7,9/13/2000,9/28/2001,9/28/2001,15 days retroactive suspension.  15 days prospective suspension beginning 9/13/00 and ending 9/28/00.  One year probation beginning 9/29/00 and ending 9/29/01.  Anger mgt counseling.,,,,,,5211
15664,564,8/29/2000,1,PR,7,9/13/2000,9/12/2001,9/12/2001,must provide proof of alcohol abuse counseling,,,,,,5285
15333,564,8/29/2000,1,VR,7,8/29/2000,,,,,,,,,5216
15550,564,8/29/2000,1,Rev,4,8/29/2000,,,,,,,,,5267
14720,564,8/29/2000,1,VR,7,,,,,,,,,,5059
15335,564,8/29/2000,1,VR,7,,,,,,,,,,5218
14139,549,8/19/1999,1,PR,7,9/3/1999,9/2/2000,,,,,,,,4907
15391,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5229
15807,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5336
14814,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5084
15669,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5286
14782,571,11/7/2000,1,VR,7,11/7/2000,,,Per a Stipulation and Settlement Agreement,,,,,,5077
15568,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5270
12646,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,4489
15276,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5207
12870,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,4566
16190,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5452
16733,571,11/7/2000,1,VR,,11/7/2000,,,Order Accepting Relinquishment,,,,,,5611
16235,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5474
15732,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5312
16094,571,11/7/2000,1,VR,7,11/7/2000,,,,,,,,,5420
15961,570,11/7/2000,1,VR,7,11/7/2000,,,,,,,,,5379
15794,570,11/7/2000,1,VR,4,11/7/2000,,,,,,,,,5331
14995,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5136
15473,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5252
15953,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5377
15963,571,11/7/2000,1,Sus/Pr,7,11/22/2000,11/22/2002,11/22/2002,Two year probation from 11-22-00 thru 11-22-02. One year suspension from2-4-00 thru 2-4-01. Ethics training.,,,,,,5381
16203,570,11/7/2000,1,VR,4,11/7/2000,,,,,,,,,5461
15343,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5220
16217,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5466
15976,570,11/7/2000,1,VR,4,11/7/2000,,,,,,,,,5387
15806,570,11/7/2000,1,Rev,7,,,,,,,,,,5335
15043,571,11/7/2000,1,Rev,7,,,,,,,,,,5150
15488,571,11/7/2000,1,PR,7,11/21/2000,5/21/2001,,Plus firearms training.  Training completed on 08/14/00.  Six months retroactive suspension beginning 08/26/99 and ending 02/25/00.,,,,,,5257
14992,570,11/7/2000,1,Rep,4,,,,,,,,,,5135
16147,570,11/7/2000,1,Rev,7,,,,,,,,,,5434
16016,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5400
15790,570,11/7/2000,1,VR,7,,,,,,,,,,5330
14787,571,11/7/2000,1,PR,7,11/21/2000,5/21/2001,,"Retroactive 6 month suspension from 02-10-99 through 08-09-99, plus Anger Management Counseling.  Anger Management Counseling completed on 07-27-00.",,,,,,5079
13883,570,11/8/2000,1,VR,4,,,,,,,,,,4839
16249,570,11/7/2000,1,Rev,7,,,,,,,,,,5477
15985,571,11/7/2000,1,VR,7,,,,,,,,,,5390
15931,570,11/7/2000,1,PR,7,11/22/2000,11/21/2001,,proof of court ordered counseling.  probation can be terminated early upon receipt of documentation,,,,,,5369
16041,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5404
14159,571,11/7/2000,1,DI,7,,,,,,,,,,4915
15518,571,11/7/2000,1,DI,7,,,,,,,,,,5261
14087,570,11/7/2000,1,PR,7,11/21/2000,5/21/2001,,Retroactive suspension beginning 10-17-98 and ending 10-17-99.,,,,,,4887
12240,570,11/7/2000,1,Rev,4,,,,,,,,,,4343
16024,570,11/7/2000,1,Rev,4,,,,,,,,,,5401
15966,570,11/7/2000,1,VR,7,11/7/2000,,,,,,,,,5383
15426,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,5237
15670,570,11/7/2000,1,VR,4,11/7/2000,,,,,,,,,5287
16059,577,2/5/2001,1,VR,7,2/5/2001,,,,,,,,,5409
15924,570,11/7/2000,1,Rev,4,,,,,,,,,,5366
15993,570,11/7/2000,1,Rev,4,,,,,,,,,,5394
15948,570,11/7/2000,1,VR,4,11/7/2000,,,,,,,,,5376
16138,570,11/7/2000,1,VR,7,11/7/2000,,,,,,,,,5431
15381,571,11/7/2000,1,VR,7,,,,,,,,,,5227
12899,570,11/7/2000,1,Rev,4,11/7/2000,,,,,,,,,4576
12523,571,11/7/2000,1,PR,7,11/7/2000,11/15/2000,11/15/2000,3 month retroactive suspension 4/17/98 to 7/17/98.  3 month probation with ethics training.  Probation terminate early with training.,,,,,,4438
15943,571,11/7/2000,1,Sus/Pr,7,11/22/2000,5/21/2001,5/21/2001,anger management and ethics.  susp retoactive 6/8/00 to 8/11/00,,,,,,5375
16567,571,11/7/2000,1,DI,,11/7/2000,,,,,,,,,5561
16570,571,11/7/2000,1,DI,,,,,,,,,,,5563
16168,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5442
16164,571,11/7/2000,1,Sus/Pr,7,11/22/2000,11/22/2001,11/22/2001,Retroactive suspension from 3-24-2000 thru 4-7-2000. One year probation from 11-22-2000 thru 11-22-2001. Ethics training.,,,,,,5440
15679,570,11/7/2000,1,Rev,7,,,,,,,,,,5289
16283,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5486
15905,570,11/7/2000,1,Rev,7,,,,,,,,,,5361
14676,570,11/7/2000,1,VR,7,,,,,,,,,,5045
15439,570,11/7/2000,1,VR,4,,,,,,,,,,5243
15273,570,11/7/2000,1,VR,4,,,,,,,,,,5205
16063,570,11/7/2000,1,VR,7,11/7/2000,,,,,,,,,5411
15325,570,11/7/2000,1,Rev,7,,,,,,,,,,5214
15915,570,11/7/2000,1,Rev,7,,,,,,,,,,5363
14763,571,11/8/2000,1,Rev,7,,,,,,,,,,5070
16082,570,11/7/2000,1,VR,7,11/7/2000,,,,,,,,,5417
12296,570,11/7/2000,1,VR,4,11/7/2000,,,,,,,,,4361
16156,570,11/7/2000,1,VR,7,11/7/2000,,,,,,,,,5437
15334,570,11/7/2000,1,VR,4,11/7/2000,,,,,,,,,5217
15742,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5318
15919,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5364
15958,570,11/7/2000,1,Rev,7,11/7/2000,,,,,,,,,5378
15996,571,11/7/2000,1,PR,7,11/22/2000,11/21/2001,11/21/2001,"Six months retroactive suspension from January 28, 2000 to June 28, 2000.  One year probation beginning fifteen days following entry of a final order.  As a condition of probation, enter into and provide Staff with proof of successful completion of Criminal Justice Standards and Training Commission or Staff-approved training in Firearms and Ethics prior to the expiration of the period of probation. THE FC ALSO ADDED A MENTAL FITNESS FOR DUTY EVAL IF HE WOULD AGREE TO IT.  I CALLED TURPACK ON 11/7/00 AND EXPLAINED THIS AND HE READILY AGREED.  THIS REQUIREMENT WAS ADDED TO THE F.O. AND MAILED.",,,,,,5396
15479,577,2/5/2001,1,Rev,4,,,,,,,,,,5256
16435,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5526
15856,579,5/7/2001,1,PR,7,5/22/2001,5/22/2001,5/22/2001,Anger mgt training.  Probation will terminate early when training is complete.,,,,,,5351
16753,579,5/7/2001,1,PR,7,5/22/2001,11/21/2001,11/21/2001,"Ten day retroactive suspension beginning May 8, 2000 and ending May 18, 2000.  Six months probation.  As a condition of probation, obtain a psychological fitness for duty examination, and thereafter comply with any and all recommendations which result from said examination, to include, but not limited to, counseling.  Proof of said examination, and compliance with resulting recommendations, shall be provided to the Staff by thirty (30) days prior to the expiration of the probationary period.",,,,,,5620
15841,579,5/7/2001,1,Rev,4,5/7/2001,,,,,,,,,5348
15682,579,5/7/2001,1,Rev,4,5/7/2001,,,,,,,,,5292
16531,579,5/7/2001,1,VR,7,5/7/2001,,,,,,,,,5551
15617,579,5/7/2001,1,DI,7,5/7/2001,,,,,,,,,5276
16064,579,5/7/2001,1,Rev,4,5/7/2001,,,,,,,,,5412
15254,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5200
16008,579,5/7/2001,1,Sus/Pr,7,5/22/2001,5/21/2002,,failed to complete ethics training; new case opened for violation of probation,,,,,,5399
15531,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5264
16461,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5537
16579,579,5/7/2001,1,VR,7,5/7/2001,,,,,,,,,5567
16588,579,5/7/2001,1,VR,7,5/7/2001,,,,,,,,,5570
16997,579,5/7/2001,1,VR,7,5/7/2001,,,law enforcement and instructor certifications,,,,,,5686
16764,579,5/7/2001,1,VR,4,5/7/2001,,,,,,,,,5624
16889,579,5/7/2001,1,VR,7,5/7/2001,,,,,,,,,5663
16295,579,5/7/2001,1,VR,7,,,,,,,,,,5491
15928,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5368
16644,579,5/7/2001,1,VR,7,,,,,,,,,,5584
16739,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5613
16716,579,5/7/2001,1,VR,7,,,,,,,,,,5606
16220,579,5/7/2001,1,None,,5/7/2001,,,Dismissed the Administrative Complaint filed in this case.,,,,,,5468
14757,579,5/7/2001,1,VR,7,,,,,,,,,,5069
16442,579,5/7/2001,1,VR,4,5/7/2001,,,,,,,,,5529
16031,579,5/7/2001,1,VR,4,,,,,,,,,,5403
16001,579,5/7/2001,1,VR,4,,,,,,,,,,5398
14592,579,5/7/2001,1,VR,4,5/7/2001,,,,,,,,,5031
15685,579,5/8/2001,1,Rev,4,,,,,,,,,,5295
15279,579,5/7/2001,1,VR,7,5/7/2001,,,,,,,,,5208
16765,579,5/7/2001,1,VR,4,5/7/2001,,,,,,,,,5625
15401,579,5/8/2001,1,Rev,4,,,,,,,,,,5233
16302,579,5/8/2001,1,Rev,4,,,,,,,,,,5493
15612,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5275
13737,579,5/8/2001,1,Rev,4,,,,,,,,,,4814
16509,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5547
16855,579,5/7/2001,1,Rev,7,5/22/2001,5/22/2002,,Complete a course counseling in anger management prior to expiration of probation,,,,,,5652
15813,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5339
14774,579,5/7/2001,1,Rev,4,5/7/2001,,,,,,,,,5073
16744,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5615
16172,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5443
16693,579,5/7/2001,1,VR,7,5/7/2001,,,,,,,,,5594
16763,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5623
16081,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5416
16807,579,5/7/2001,1,DN,,,,,certification deficiency.  no processed fingerprints on file with employing agency,,,,,,5637
16610,579,5/7/2001,1,VR,7,5/7/2001,,,,,,,,,5574
16690,579,5/7/2001,1,Rev,7,5/7/2001,,,,,,,,,5592
16799,579,5/7/2001,1,VR,4,5/7/2001,,,,,,,,,5634
12769,579,5/7/2001,1,Rev,4,5/7/2001,,,,,,,,,4535
16383,579,5/7/2001,1,Rev,7,,,,,,,,,,5513
12669,579,5/7/2001,1,VR,7,5/7/2001,,,,,,,,,4496
16553,579,5/7/2001,1,None,,,,,,,,,,,5559
14935,579,5/8/2001,1,Rev,7,5/8/2001,,,,,,,,,5116
16194,579,5/7/2001,1,None,,,,,Letter of Denial dismissed and granted correctional officer certification.,,,,,,5454
16000,577,2/5/2001,1,VR,7,2/5/2001,,,,,,,,,5397
16370,577,2/5/2001,1,VR,7,2/5/2001,,,,,,,,,5509
16290,577,2/5/2001,1,Rev,7,2/5/2001,,,,,,,,,5489
16289,577,2/5/2001,1,Rev,7,2/5/2001,,,,,,,,,5488
15705,577,2/5/2001,1,Rev,4,2/5/2001,,,,,,,,,5304
16276,577,2/5/2001,1,Rev,7,2/5/2001,,,,,,,,,5484
15787,577,2/5/2001,1,Rev,7,2/5/2001,,,,,,,,,5328
16392,577,2/5/2001,1,Rev,7,2/5/2001,,,,,,,,,5517
16103,577,2/5/2001,1,Rev,4,2/5/2001,,,,,,,,,5423
