complaint_nbr,offense_code,offense_seq_nbr,case_related,offense_comments,row_revision,offense_prefix,offense_date,guideline_penalty,creation_user_code,creation_datetime,update_user_code,update_datetime
173,3600,1,Y,MISDEAMEANOR,,,,,,,,
178,5200,1,Y,MISDEAMEANOR,,,,,,,,
182,8000,1,Y,MISDEAMEANOR,,,,,,,,
183,8000,1,Y,MISDEAMEANOR,,,,,,,,
193,8000,1,Y,MISDEAMEANOR,,,,,,,,
194,8000,1,Y,MISDEAMEANOR,,,,,,,,
198,8000,1,Y,MISDEAMEANOR,,,,,,,,
203,8000,1,Y,MISDEAMEANOR,,,,,,,,
208,3600,1,Y,MISDEAMEANOR,,,,,,,,
209,8000,1,Y,MISDEAMEANOR,,,,,,,,
211,1000,1,Y,FELONY,,,,,,,,
216,8000,1,Y,MISDEAMEANOR,,,,,,,,
217,8000,1,Y,MISDEAMEANOR,,,,,,,,
222,3500,1,Y,FELONY,,,,,,,,
223,5103,1,Y,MISDEAMEANOR,,,,,,,,
229,2300,1,Y,MISDEAMEANOR,,,,,,,,
237,2200,1,Y,MISDEAMEANOR,,,,,,,,
242,8000,1,Y,MISDEAMEANOR,,,,,,,,
244,8000,1,Y,MISDEAMEANOR,,,,,,,,
245,8000,1,Y,MISDEAMEANOR,,,,,,,,
246,8000,1,Y,MISDEAMEANOR,,,,,,,,
248,3532,1,Y,MISDEAMEANOR,,,,,,,,
262,8000,1,Y,MISDEAMEANOR,,,,,,,,
263,8000,1,Y,MISDEAMEANOR,,,,,,,,
265,3562,1,Y,MISDEAMEANOR,,,,,,,,
269,8000,1,Y,MISDEAMEANOR,,,,,,,,
274,5100,1,Y,FELONY,,,,,,,,
276,8000,1,Y,,,,,,,,,
280,8000,1,Y,MISDEAMEANOR,,,,,,,,
285,8000,1,Y,MISDEAMEANOR,,,,,,,,
295,8000,1,Y,MISDEAMEANOR,,,,,,,,
302,4800,1,Y,MISDEAMEANOR,,,,,,,,
315,8000,1,Y,MISDEAMEANOR,,,,,,,,
324,2300,1,Y,MISDEAMEANOR,,,,,,,,
331,8000,1,Y,MISDEAMEANOR,,,,,,,,
335,8000,1,Y,MISDEAMEANOR,,,,,,,,
340,8000,1,Y,MISDEAMEANOR,,,,,,,,
344,8000,1,Y,MISDEAMEANOR,,,,,,,,
354,3600,1,Y,MISDEAMEANOR,,,,,,,,
356,8000,1,Y,,,,,,,,,
357,8000,1,Y,MISDEAMEANOR,,,,,,,,
360,8000,1,Y,MISDEAMEANOR,,,,,,,,
363,8000,1,Y,MISDEAMEANOR,,,,,,,,
370,2800,1,Y,MISDEAMEANOR,,,,,,,,
374,8000,1,Y,MISDEAMEANOR,,,,,,,,
387,3600,1,Y,MISDEAMEANOR,,,,,,,,
388,2200,1,Y,,,,,,,,,
389,2300,1,Y,FELONY,,,,,,,,
390,8000,1,Y,MISDEAMEANOR,,,,,,,,
391,2800,1,Y,MISDEAMEANOR,,,,,,,,
392,2600,1,Y,MISDEAMEANOR,,,,,,,,
393,2300,1,Y,MISDEAMEANOR,,,,,,,,
399,8000,1,Y,MISDEAMEANOR,,,,,,,,
400,5006,1,Y,ATT CONC/REMOVE CASH,,,,,,,,
400,5006,2,Y,TAMPER WITH A WITNESS,,,,,,,,
413,3600,1,Y,FELONY,,,,,,,,
418,8000,1,Y,MISDEAMEANOR,,,,,,,,
422,8000,1,Y,MISDEAMEANOR,,,,,,,,
423,2600,1,Y,MISDEAMEANOR,,,,,,,,
428,1300,1,Y,MISDEAMEANOR,,,,,,,,
431,3600,1,Y,MISDEAMEANOR,,,,,,,,
436,8000,1,Y,MISDEAMEANOR,,,,,,,,
441,8000,1,Y,MISDEAMEANOR,,,,,,,,
447,8000,1,Y,MISDEAMEANOR,,,,,,,,
451,8000,1,Y,,,,,,,,,
452,2300,1,Y,MISDEAMEANOR,,,,,,,,
454,8000,1,Y,MISDEAMEANOR,,,,,,,,
456,2300,1,Y,FELONY,,,,,,,,
459,8000,1,Y,MISDEAMEANOR,,,,,,,,
460,8000,1,Y,MISDEAMEANOR,,,,,,,,
463,8000,1,Y,MISDEAMEANOR,,,,,,,,
465,8000,1,Y,MISDEAMEANOR,,,,,,,,
474,8000,1,Y,FELONY,,,,,,,,
475,2300,1,Y,FELONY,,,,,,,,
476,8000,1,Y,MISDEAMEANOR,,,,,,,,
481,5200,1,Y,MISDEAMEANOR,,,,,,,,
483,2900,1,Y,,,,,,,,,
487,3500,1,Y,FELONY,,,,,,,,
491,8000,1,Y,MISDEAMEANOR,,,,,,,,
494,8000,1,Y,MISDEAMEANOR,,,,,,,,
505,8000,1,Y,MISDEAMEANOR,,,,,,,,
509,8000,1,Y,MISDEAMEANOR,,,,,,,,
510,8000,1,Y,MISDEAMEANOR,,,,,,,,
511,8000,1,Y,MISDEAMEANOR,,,,,,,,
514,8000,1,Y,MISDEAMEANOR,,,,,,,,
519,8000,1,Y,MISDEAMEANOR,,,,,,,,
520,8000,1,Y,MISDEAMEANOR,,,,,,,,
526,1300,1,Y,FELONY,,,,,,,,
527,8000,1,Y,FELONY,,,,,,,,
531,8000,1,Y,MISDEAMEANOR,,,,,,,,
532,3600,1,Y,MISDEAMEANOR,,,,,,,,
537,3500,1,Y,FELONY,,,,,,,,
538,3500,1,Y,FELONY,,,,,,,,
544,3500,1,Y,FELONY,,,,,,,,
547,8000,1,Y,MISDEAMEANOR,,,,,,,,
548,8000,1,Y,MISDEAMEANOR,,,,,,,,
549,8000,1,Y,MISDEAMEANOR,,,,,,,,
554,3500,1,Y,Admitted to using marijuana while employed as a law enforcement officer,,,,,,,,
556,8000,1,Y,MISDEAMEANOR,,,,,,,,
562,3500,1,Y,FELONY,,,,,,,,
564,2300,1,Y,MISDEAMEANOR,,,,,,,,
565,8000,1,Y,MISDEAMEANOR,,,,,,,,
567,8000,1,Y,FELONY,,,,,,,,
570,2600,1,Y,MISDEAMEANOR,,,,,,,,
581,2600,1,Y,MISDEAMEANOR,,,,,,,,
592,8000,1,Y,MISDEAMEANOR,,,,,,,,
594,5200,1,Y,MISDEAMEANOR,,,,,,,,
595,3500,1,Y,MISDEAMEANOR,,,,,,,,
596,8000,1,Y,MISDEAMEANOR,,,,,,,,
598,8000,1,Y,MISDEAMEANOR,,,,,,,,
599,8000,1,Y,MISDEAMEANOR,,,,,,,,
600,2300,1,Y,FELONY,,,,,,,,
604,8000,1,Y,MISDEAMEANOR,,,,,,,,
607,2600,1,Y,MISDEAMEANOR,,,,,,,,
608,1300,1,Y,MISDEAMEANOR,,,,,,,,
609,8000,1,Y,MISDEAMEANOR,,,,,,,,
611,8000,1,Y,MISDEAMEANOR,,,,,,,,
616,1300,1,Y,MISDEAMEANOR,,,,,,,,
617,1300,1,Y,MISDEAMEANOR,,,,,,,,
624,8000,1,Y,MISDEAMEANOR,,,,,,,,
627,3500,1,Y,FELONY,,,,,,,,
633,3500,1,Y,FELONY,,,,,,,,
635,8000,1,Y,MISDEAMEANOR,,,,,,,,
638,8000,1,Y,MISDEAMEANOR,,,,,,,,
640,8000,1,Y,MISDEAMEANOR,,,,,,,,
642,8000,1,Y,MISDEAMEANOR,,,,,,,,
644,2500,1,Y,MISDEAMEANOR,,,,,,,,
649,3500,1,Y,MISDEAMEANOR,,,,,,,,
650,8000,1,Y,MISDEAMEANOR,,,,,,,,
657,8000,1,Y,MISDEAMEANOR,,,,,,,,
660,2300,1,Y,MISDEAMEANOR,,,,,,,,
663,8000,1,Y,MISDEAMEANOR,,,,,,,,
665,2300,1,Y,FELONY,,,,,,,,
666,8000,1,Y,MISDEAMEANOR,,,,,,,,
669,3500,1,Y,,,,,,,,,
672,2500,1,Y,,,,,,,,,
673,8000,1,Y,MISDEAMEANOR,,,,,,,,
674,8000,1,Y,MISDEAMEANOR,,,,,,,,
675,8000,1,Y,MISDEAMEANOR,,,,,,,,
676,3600,1,Y,MISDEAMEANOR,,,,,,,,
677,8000,1,Y,MISDEAMEANOR,,,,,,,,
684,8000,1,Y,MISDEAMEANOR,,,,,,,,
701,3600,1,Y,MISDEAMEANOR,,,,,,,,
702,8000,1,Y,MISDEAMEANOR,,,,,,,,
707,8000,1,Y,MISDEAMEANOR,,,,,,,,
708,8000,1,Y,MISDEAMEANOR,,,,,,,,
711,8000,1,Y,MISDEAMEANOR,,,,,,,,
729,3500,1,Y,FELONY,,,,,,,,
730,2300,1,Y,FELONY,,,,,,,,
731,8000,1,Y,MISDEAMEANOR,,,,,,,,
732,8000,1,Y,MISDEAMEANOR,,,,,,,,
733,8000,1,Y,MISDEAMEANOR,,,,,,,,
740,8000,1,Y,MISDEAMEANOR,,,,,,,,
741,8000,1,Y,MISDEAMEANOR,,,,,,,,
745,2600,1,Y,FELONY,,,,,,,,
746,8000,1,Y,MISDEAMEANOR,,,,,,,,
749,8000,1,Y,MISDEAMEANOR,,,,,,,,
750,8000,1,Y,MISDEAMEANOR,,,,,,,,
751,8000,1,Y,MISDEAMEANOR,,,,,,,,
766,8000,1,Y,MISDEAMEANOR,,,,,,,,
768,3600,1,Y,MISDEAMEANOR,,,,,,,,
769,8000,1,Y,MISDEAMEANOR,,,,,,,,
770,3600,1,Y,MISDEAMEANOR,,,,,,,,
775,8000,1,Y,MISDEAMEANOR,,,,,,,,
780,3532,1,Y,FELONY,,,,,,,,
783,8000,1,Y,MISDEAMEANOR,,,,,,,,
784,8000,1,Y,MISDEAMEANOR,,,,,,,,
785,8000,1,Y,MISDEAMEANOR,,,,,,,,
786,8000,1,Y,MISDEAMEANOR,,,,,,,,
787,8000,1,Y,MISDEAMEANOR,,,,,,,,
789,3500,1,Y,FELONY,,,,,,,,
809,2800,1,Y,FELONY,,,,,,,,
810,8000,1,Y,MISDEAMEANOR,,,,,,,,
813,8000,1,Y,MISDEAMEANOR,,,,,,,,
816,8000,1,Y,MISDEAMEANOR,,,,,,,,
821,8000,1,Y,MISDEAMEANOR,,,,,,,,
825,8000,1,Y,MISDEAMEANOR,,,,,,,,
830,2300,1,Y,MISDEAMEANOR,,,,,,,,
838,8000,1,Y,MISDEAMEANOR,,,,,,,,
839,8000,1,Y,MISDEAMEANOR,,,,,,,,
843,8000,1,Y,MISDEAMEANOR,,,,,,,,
845,8000,1,Y,MISDEAMEANOR,,,,,,,,
851,2600,1,Y,MISDEAMEANOR,,,,,,,,
853,8000,1,Y,MISDEAMEANOR,,,,,,,,
854,8000,1,Y,MISDEAMEANOR,,,,,,,,
858,2300,1,Y,MISDEAMEANOR,,,,,,,,
859,2300,1,Y,FELONY,,,,,,,,
860,8000,1,Y,MISDEAMEANOR,,,,,,,,
865,8000,1,Y,MISDEAMEANOR,,,,,,,,
866,8000,1,Y,MISDEAMEANOR,,,,,,,,
867,8000,1,Y,MISDEAMEANOR,,,,,,,,
868,8000,1,Y,MISDEAMEANOR,,,,,,,,
876,8000,1,Y,MISDEAMEANOR,,,,,,,,
878,8000,1,Y,MISDEAMEANOR,,,,,,,,
879,8000,1,Y,MISDEAMEANOR,,,,,,,,
880,8000,1,Y,MISDEAMEANOR,,,,,,,,
888,8000,1,Y,MISDEAMEANOR,,,,,,,,
891,8000,1,Y,MISDEAMEANOR,,,,,,,,
892,8000,1,Y,MISDEAMEANOR,,,,,,,,
900,8000,1,Y,MISDEAMEANOR,,,,,,,,
902,8000,1,Y,MISDEAMEANOR,,,,,,,,
904,8000,1,Y,MISDEAMEANOR,,,,,,,,
905,8000,1,Y,MISDEAMEANOR,,,,,,,,
912,8000,1,Y,MISDEAMEANOR,,,,,,,,
916,8000,1,Y,MISDEAMEANOR,,,,,,,,
917,8000,1,Y,MISDEAMEANOR,,,,,,,,
918,8000,1,Y,MISDEAMEANOR,,,,,,,,
924,8000,1,Y,MISDEAMEANOR,,,,,,,,
930,1300,1,Y,FELONY,,,,,,,,
936,8000,1,Y,MISDEAMEANOR,,,,,,,,
937,8000,1,Y,MISDEAMEANOR,,,,,,,,
950,8000,1,Y,MISDEAMEANOR,,,,,,,,
951,8000,1,Y,MISDEAMEANOR,,,,,,,,
952,8000,1,Y,MISDEAMEANOR,,,,,,,,
963,3500,1,Y,FELONY,,,,,,,,
964,2600,1,Y,MISDEAMEANOR,,,,,,,,
972,2607,1,Y,FELONY,,,,,,,,
974,8000,1,Y,MISDEAMEANOR,,,,,,,,
975,4800,1,Y,MISDEAMEANOR,,,,,,,,
977,2600,1,Y,MISDEAMEANOR,,,,,,,,
978,8000,1,Y,MISDEAMEANOR,,,,,,,,
980,8000,1,Y,MISDEAMEANOR,,,,,,,,
981,8000,1,Y,MISDEAMEANOR,,,,,,,,
983,8000,1,Y,MISDEAMEANOR,,,,,,,,
987,8000,1,Y,MISDEAMEANOR,,,,,,,,
1007,8000,1,Y,MISDEAMEANOR,,,,,,,,
1008,8000,1,Y,MISDEAMEANOR,,,,,,,,
1010,8000,1,Y,MISDEAMEANOR,,,,,,,,
1012,8000,1,Y,MISDEAMEANOR,,,,,,,,
1014,3500,1,Y,MISDEAMEANOR,,,,,,,,
1015,8000,1,Y,MISDEAMEANOR,,,,,,,,
1016,8000,1,Y,MISDEAMEANOR,,,,,,,,
1020,8000,1,Y,MISDEAMEANOR,,,,,,,,
1021,3500,1,Y,,,,,,,,,
1034,8000,1,Y,MISDEAMEANOR,,,,,,,,
1040,8000,1,Y,MISDEAMEANOR,,,,,,,,
1042,6100,1,Y,MISDEAMEANOR,,,,,,,,
1045,2400,1,Y,FELONY,,,,,,,,
1050,8000,1,Y,MISDEAMEANOR,,,,,,,,
1056,3600,1,Y,FELONY,,,,,,,,
1057,8000,1,Y,MISDEAMEANOR,,,,,,,,
1058,8000,1,Y,MISDEAMEANOR,,,,,,,,
1059,8000,1,Y,MISDEAMEANOR,,,,,,,,
1065,8000,1,Y,MISDEAMEANOR,,,,,,,,
1070,3500,1,Y,MISDEAMEANOR,,,,,,,,
1073,8000,1,Y,MISDEAMEANOR,,,,,,,,
1076,8000,1,Y,MISDEAMEANOR,,,,,,,,
1078,2300,1,Y,MISDEAMEANOR,,,,,,,,
1083,2600,1,Y,MISDEAMEANOR,,,,,,,,
1084,4800,1,Y,MISDEAMEANOR,,,,,,,,
1088,3500,1,Y,MISDEAMEANOR,,,,,,,,
1094,8000,1,Y,MISDEAMEANOR,,,,,,,,
1112,8000,1,Y,MISDEAMEANOR,,,,,,,,
1114,8000,1,Y,MISDEAMEANOR,,,,,,,,
1116,3600,1,Y,MISDEAMEANOR,,,,,,,,
1119,8000,1,Y,MISDEAMEANOR,,,,,,,,
1120,8000,1,Y,MISDEAMEANOR,,,,,,,,
1122,8000,1,Y,MISDEAMEANOR,,,,,,,,
1125,8000,1,Y,MISDEAMEANOR,,,,,,,,
1126,8000,1,Y,MISDEAMEANOR,,,,,,,,
1128,8000,1,Y,MISDEAMEANOR,,,,,,,,
1131,8000,1,Y,MISDEAMEANOR,,,,,,,,
1138,8000,1,Y,MISDEAMEANOR,,,,,,,,
1146,8000,1,Y,MISDEAMEANOR,,,,,,,,
1150,8000,1,Y,MISDEAMEANOR,,,,,,,,
1155,2600,1,Y,MISDEAMEANOR,,,,,,,,
1156,1300,1,Y,MISDEAMEANOR,,,,,,,,
1158,3530,1,Y,FELONY,,,,,,,,
1163,8000,1,Y,MISDEAMEANOR,,,,,,,,
1165,8000,1,Y,MISDEAMEANOR,,,,,,,,
1168,8000,1,Y,MISDEAMEANOR,,,,,,,,
1169,8000,1,Y,MISDEAMEANOR,,,,,,,,
1170,2600,1,Y,MISDEAMEANOR,,,,,,,,
1172,8000,1,Y,MISDEAMEANOR,,,,,,,,
1174,8000,1,Y,MISDEAMEANOR,,,,,,,,
1177,3600,1,Y,MISDEAMEANOR,,,,,,,,
1178,8000,1,Y,MISDEAMEANOR,,,,,,,,
1185,3600,1,Y,MISDEAMEANOR,,,,,,,,
1188,8000,1,Y,MISDEAMEANOR,,,,,,,,
1193,8000,1,Y,MISDEAMEANOR,,,,,,,,
1194,8000,1,Y,MISDEAMEANOR,,,,,,,,
1196,2600,1,Y,MISDEAMEANOR,,,,,,,,
1197,8000,1,Y,MISDEAMEANOR,,,,,,,,
1205,8000,1,Y,MISDEAMEANOR,,,,,,,,
1206,8000,1,Y,MISDEAMEANOR,,,,,,,,
1209,8000,1,Y,MISDEAMEANOR,,,,,,,,
1215,8000,1,Y,MISDEAMEANOR,,,,,,,,
1217,8000,1,Y,MISDEAMEANOR,,,,,,,,
1222,8000,1,Y,MISDEAMEANOR,,,,,,,,
1223,8000,1,Y,MISDEAMEANOR,,,,,,,,
1225,8000,1,Y,MISDEAMEANOR,,,,,,,,
1226,8000,1,Y,MISDEAMEANOR,,,,,,,,
1227,8000,1,Y,MISDEAMEANOR,,,,,,,,
1237,8000,1,Y,MISDEAMEANOR,,,,,,,,
1238,2600,1,Y,MISDEAMEANOR,,,,,,,,
1240,8000,1,Y,MISDEAMEANOR,,,,,,,,
1242,3500,1,Y,MISDEAMEANOR,,,,,,,,
1248,8000,1,Y,MISDEAMEANOR,,,,,,,,
1250,8000,1,Y,MISDEAMEANOR,,,,,,,,
1251,8000,1,Y,MISDEAMEANOR,,,,,,,,
1253,3500,1,Y,MISDEAMEANOR,,,,,,,,
1257,8000,1,Y,MISDEAMEANOR,,,,,,,,
1273,1200,1,Y,FELONY,,,,,,,,
1282,2504,1,Y,FELONY,,,,,,,,
1288,8000,1,Y,MISDEAMEANOR,,,,,,,,
1290,8000,1,Y,MISDEAMEANOR,,,,,,,,
1298,8000,1,Y,MISDEAMEANOR,,,,,,,,
1300,2600,1,Y,MISDEAMEANOR,,,,,,,,
1303,8000,1,Y,MISDEAMEANOR,,,,,,,,
1304,8000,1,Y,MISDEAMEANOR,,,,,,,,
1307,8000,1,Y,MISDEAMEANOR,,,,,,,,
1316,2504,1,Y,FELONY,,,,,,,,
1320,8000,1,Y,MISDEAMEANOR,,,,,,,,
1322,8000,1,Y,MISDEAMEANOR,,,,,,,,
1329,8000,1,Y,MISDEAMEANOR,,,,,,,,
1330,8000,1,Y,,,,,,,,,
1335,8000,1,Y,MISDEAMEANOR,,,,,,,,
1336,3500,1,Y,FELONY,,,,,,,,
1337,3500,1,Y,MISDEAMEANOR,,,,,,,,
1339,8000,1,Y,MISDEAMEANOR,,,,,,,,
1342,2300,1,Y,MISDEAMEANOR,,,,,,,,
1343,4804,1,Y,MISDEAMEANOR,,,,,,,,
1346,3500,1,Y,MISDEAMEANOR,,,,,,,,
1347,8000,1,Y,MISDEAMEANOR,,,,,,,,
1351,3500,1,Y,MISDEAMEANOR,,,,,,,,
1352,8000,1,Y,MISDEAMEANOR,,,,,,,,
1353,3601,1,Y,MISDEAMEANOR,,,,,,,,
1354,3900,1,Y,MISDEAMEANOR,,,,,,,,
1356,8000,1,Y,MISDEAMEANOR,,,,,,,,
1357,2600,1,Y,MISDEAMEANOR,,,,,,,,
1358,2600,1,Y,MISDEAMEANOR,,,,,,,,
1367,2800,1,Y,MISDEAMEANOR,,,,,,,,
1371,2300,1,Y,FELONY,,,,,,,,
1372,8000,1,Y,MISDEAMEANOR,,,,,,,,
1373,8000,1,Y,MISDEAMEANOR,,,,,,,,
1376,1300,1,Y,FELONY,,,,,,,,
1377,2300,1,Y,MISDEAMEANOR,,,,,,,,
1378,8000,1,Y,MISDEAMEANOR,,,,,,,,
1379,8000,1,Y,MISDEAMEANOR,,,,,,,,
1382,2607,1,Y,MISDEAMEANOR,,,,,,,,
1389,3600,1,Y,MISDEAMEANOR,,,,,,,,
1391,8000,1,Y,MISDEAMEANOR,,,,,,,,
1394,8000,1,Y,MISDEAMEANOR,,,,,,,,
1395,1300,1,Y,FELONY,,,,,,,,
1396,2800,1,Y,MISDEAMEANOR,,,,,,,,
1397,8000,1,Y,MISDEAMEANOR,,,,,,,,
1398,2600,1,Y,MISDEAMEANOR,,,,,,,,
1399,8000,1,Y,MISDEAMEANOR,,,,,,,,
1400,8000,1,Y,MISDEAMEANOR,,,,,,,,
1401,2800,1,Y,MISDEAMEANOR,,,,,,,,
1409,3532,1,Y,FELONY,,,,,,,,
1410,8000,1,Y,MISDEAMEANOR,,,,,,,,
1411,8000,1,Y,MISDEAMEANOR,,,,,,,,
1412,8000,1,Y,MISDEAMEANOR,,,,,,,,
1413,2300,1,Y,FELONY,,,,,,,,
1414,8000,1,Y,MISDEAMEANOR,,,,,,,,
1416,3500,1,Y,FELONY,,,,,,,,
1417,3564,1,Y,MISDEAMEANOR,,,,,,,,
1423,3533,1,Y,MISDEAMEANOR,,,,,,,,
1426,8000,1,Y,MISDEAMEANOR,,,,,,,,
1427,8000,1,Y,MISDEAMEANOR,,,,,,,,
1433,8000,1,Y,MISDEAMEANOR,,,,,,,,
1434,8000,1,Y,MISDEAMEANOR,,,,,,,,
1441,8000,1,Y,MISDEAMEANOR,,,,,,,,
1444,1100,1,Y,MISDEAMEANOR,,,,,,,,
1445,1300,1,Y,MISDEAMEANOR,,,,,,,,
1448,3500,1,Y,MISDEAMEANOR,,,,,,,,
1450,8000,1,Y,MISDEAMEANOR,,,,,,,,
1452,8000,1,Y,MISDEAMEANOR,,,,,,,,
1453,3704,1,Y,MISDEAMEANOR,,,,,,,,
1454,8000,1,Y,MISDEAMEANOR,,,,,,,,
1455,8000,1,Y,MISDEAMEANOR,,,,,,,,
1456,8000,1,Y,MISDEAMEANOR,,,,,,,,
1457,2600,1,Y,FELONY,,,,,,,,
1458,2603,1,Y,FELONY,,,,,,,,
1461,8000,1,Y,MISDEAMEANOR,,,,,,,,
1464,8000,1,Y,MISDEAMEANOR,,,,,,,,
1465,2100,1,Y,MISDEAMEANOR,,,,,,,,
1466,2800,1,Y,MISDEAMEANOR,,,,,,,,
1469,1300,1,Y,MISDEAMEANOR,,,,,,,,
1470,5200,1,Y,FELONY,,,,,,,,
1471,3500,1,Y,FELONY,,,,,,,,
1472,8000,1,Y,MISDEAMEANOR,,,,,,,,
1474,2100,1,Y,FELONY,,,,,,,,
1475,2800,1,Y,MISDEAMEANOR,,,,,,,,
1477,2300,1,Y,MISDEAMEANOR,,,,,,,,
1480,3500,1,Y,FELONY,,,,,,,,
1482,3600,1,Y,FELONY,,,,,,,,
1483,2200,1,Y,FELONY,,,,,,,,
1484,3500,1,Y,FELONY,,,,,,,,
1488,2800,1,Y,MISDEAMEANOR,,,,,,,,
1490,5100,1,Y,FELONY,,,,,,,,
1496,2300,1,Y,FELONY,,,,,,,,
1497,3500,1,Y,FELONY,,,,,,,,
1499,8000,1,Y,MISDEAMEANOR,,,,,,,,
1500,8000,1,Y,MISDEAMEANOR,,,,,,,,
1501,3562,1,Y,MISDEAMEANOR,,,,,,,,
1508,8000,1,Y,MISDEAMEANOR,,,,,,,,
1512,3600,1,Y,MISDEAMEANOR,,,,,,,,
1515,3500,1,Y,FELONY,,,,,,,,
1516,8000,1,Y,MISDEAMEANOR,,,,,,,,
1517,5900,1,Y,MISDEAMEANOR,,,,,,,,
1519,1315,1,Y,MISDEAMEANOR,,,,,,,,
1520,2100,1,Y,FELONY,,,,,,,,
1521,8000,1,Y,MISDEAMEANOR,,,,,,,,
1522,3600,1,Y,FELONY,,,,,,,,
1523,2300,1,Y,FELONY,,,,,,,,
1526,3531,1,Y,FELONY,,,,,,,,
1528,8000,1,Y,MISDEAMEANOR,,,,,,,,
1529,2300,1,Y,MISDEAMEANOR,,,,,,,,
1530,5200,1,Y,MISDEAMEANOR,,,,,,,,
1531,8000,1,Y,MISDEAMEANOR,,,,,,,,
1532,8000,1,Y,MISDEAMEANOR,,,,,,,,
1533,2801,1,Y,FELONY,,,,,,,,
1534,8000,1,Y,MISDEAMEANOR,,,,,,,,
1538,8000,1,Y,MISDEAMEANOR,,,,,,,,
1545,3564,1,Y,MISDEAMEANOR,,,,,,,,
1547,1100,1,Y,MISDEAMEANOR,,,,,,,,
1548,8000,1,Y,MISDEAMEANOR,,,,,,,,
1549,3560,1,Y,FELONY,,,,,,,,
1550,8000,1,Y,MISDEAMEANOR,,,,,,,,
1552,8000,1,Y,MISDEAMEANOR,,,,,,,,
1553,3600,1,Y,FELONY,,,,,,,,
1555,3600,1,Y,MISDEAMEANOR,,,,,,,,
1559,2600,1,Y,MISDEAMEANOR,,,,,,,,
1560,8000,1,Y,MISDEAMEANOR,,,,,,,,
1561,8000,1,Y,MISDEAMEANOR,,,,,,,,
1562,3600,1,Y,MISDEAMEANOR,,,,,,,,
1563,2600,1,Y,MISDEAMEANOR,,,,,,,,
1564,8000,1,Y,MISDEAMEANOR,,,,,,,,
1565,3500,1,Y,FELONY,,,,,,,,
1569,2600,1,Y,MISDEAMEANOR,,,,,,,,
1570,2700,1,Y,FELONY,,,,,,,,
1571,2600,1,Y,MISDEAMEANOR,,,,,,,,
1574,3600,1,Y,MISDEAMEANOR,,,,,,,,
1575,8000,1,Y,MISDEAMEANOR,,,,,,,,
1576,8000,1,Y,MISDEAMEANOR,,,,,,,,
1577,8000,1,Y,MISDEAMEANOR,,,,,,,,
1579,3600,1,Y,MISDEAMEANOR,,,,,,,,
1580,3800,1,Y,MISDEAMEANOR,,,,,,,,
1581,8000,1,Y,MISDEAMEANOR,,,,,,,,
1582,3500,1,Y,FELONY,,,,,,,,
1587,2607,1,Y,MISDEAMEANOR,,,,,,,,
1588,2600,1,Y,MISDEAMEANOR,,,,,,,,
1589,2600,1,Y,FELONY,,,,,,,,
1594,8000,1,Y,MISDEAMEANOR,,,,,,,,
1595,2607,1,Y,DURING INVESTIGATION,,,,,,,,
1596,8000,1,Y,MISDEAMEANOR,,,,,,,,
1599,2600,1,Y,MISDEAMEANOR,,,,,,,,
